Headword,Stem Forms,All Forms,Always Ends in E
soth,sooth; soth; sothe,sooth; soth; sothe,No
blind,blynd; blynde,blynd; blynde,No
wrong,wrong; wronge,wrong; wronge,No
holwe,holwe,holwe,Yes
secre,secre; secree,secre; secree,Yes
bet,,bet,No
bold,bold; bolde; boold,bold; bolde; boold,No
wrecche,wrecche,wrecche,Yes
shene,sheene; shene,sheene; shene,Yes
lesse,,lasse; lesse,No
fast,faste,faste; faster,Yes
kene,keene; kene,keene; kene,Yes
grim,grym; grymme,grym; grymme,No
wilde,wilde; wylde,wilde; wylde,Yes
double,double,double,Yes
fix,fixe,fixe,Yes
quite,quit; quyt,quit; quyt,No
mad,mad; madde,mad; madde,No
sore,soor; soore; sore,soor; soore; sore,No
north,north,north,No
streit,streit; streite,streit; streite,No
liard,lyard,lyard,No
lite,lite; lyte,lite; lyte,Yes
thral,thral,thral,No
bonde,bonde,bonde,Yes
sote,soote; swoote; swote,soote; swoote; swote,Yes
ferrene,ferne,ferne,Yes
crul,crul; crulle,crul; crulle,No
coi,coy,coy,No
frensh,,frenssh,No
grei,gray; grey; greye,gray; grey; greye,No
swifte,swift; swifte,swift; swifte; swifter,No
balled,balled,balled,No
fat,fat,fat,No
stepe,stepe,stepe,Yes
souple,souple,souple,Yes
broun,broun,broun,No
lene,leene; lene,leene; lene,Yes
medle,medlee,medlee,Yes
tart,tart,tart,No
def,deef; deve,deef; deve,No
moiste,moyste,moyste,Yes
fer,fer; ferre,fer; ferre; ferreste,No
propre,propre,propre,Yes
stoute,stout; stoute,stout; stoute,No
big,bigge; byg,bigge; byg,No
stif,stif,stif,No
domb,domb; dombe; doumb,domb; dombe; doumb,No
lithe,lythe,lythe,Yes
troian,troian,troian,No
stark,stark; starke,stark; starke,No
noious,noyous,noyous,No
beau,beau,beau,No
overt,overt,overt,No
juste,just; juste,just; juste,No
wet,weet; weete; wete,weet; weete; wete,No
bon,bon,bon,No
yonder,,yonder,No
loud,loud; loude; lowde,loud; loude; lowde,No
nexte,,next; nexte,No
los,laus; loos; lous,laus; loos; lous,No
crisp,crips; crispe,crips; crispe,No
blo,bloo,bloo,No
falwe,falwe,falwe,Yes
weik,wayke,wayke,Yes
mat,maat; mat,maat; mat,No
square,square,square,Yes
vein,veyn; veyne,veyn; veyne,No
wast,waste,waste,Yes
fel,fel; felle,fel; felle,No
fers,fiers; fierse,fiers; fierse,No
proud,proud; proude,proud; proude; proudeste,No
plat,plat; platte,plat; platte,No
tough,tough,tough,No
chaste,chaast; chast; chaste,chaast; chast; chaste,No
gaudi,gaude,gaude,Yes
kempe,kempe,kempe,Yes
bai,bay; baye,bay; baye,No
tame,tame,tame,Yes
paien,payen,payen,No
lift,left,left,No
hust,hust,hust,No
due,due,due,Yes
hor,hoor; hoore,hoor; hoore,No
sengle,sengle,sengle,Yes
sole,soul,soul,No
store,stoore,stoore,Yes
hende,hende,hende,Yes
derne,deerne,deerne,Yes
gent,gent,gent,No
yern,yerne,yerne,Yes
neigh,ny; nye,ny; nye,No
wight,wight,wight,No
narwe,narwe,narwe,Yes
real,real,real,No
grek,greek; grek,greek; grek,No
shrille,shrille,shrille,Yes
sour,sour,sour,No
don,donne,donne,Yes
bolde,,boold,No
perte,peert,peert,No
ille,il; ille,il; ille,No
roum,rowm,roumer; rowm,No
slik,slyk,slyk,No
yon,yon,yon,No
bel,beele; bele,beele; bele,Yes
fremed,fremde,fremde,Yes
slou,slowe,slowe,Yes
tought,toght,toght,No
ner,ner,ner,No
blaunk,blaunche,blaunche,Yes
lame,lame,lame,Yes
voide,voide,voide,Yes
prest,prest; preste,prest; preste,No
dim,dymme,dymme,Yes
prime,prime,prime,Yes
sounde,sownde,sownde,Yes
aspre,aspre,aspre,Yes
purpure,purpre,purpre,Yes
hos,hoors,hoors,No
ethe,ethe,ethe,Yes
stale,stale,stale,Yes
trie,trye,trye,Yes
slike,slyk,slyk,No
late,late,late,Yes
gold,gold,gold,No
